contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERZ8153470.327-NODE-327-length-44947-cov-5.487503	M00009	4.17	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00382	K00031,K01903,K00236,K00234,K00658,K01676,K00026,K01647,K00164,K01902,K00237,K01681,K00235
ERZ8153470.328-NODE-328-length-44842-cov-110.598678	M00026	50.0	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	K00817,K00765,K00013,K01089	K02500,K01496,K01523,K02501,K01814
ERZ8153470.328-NODE-328-length-44842-cov-110.598678	M00017	14.29	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00548	K01739,K00133,K00651,K00928,K00003,K01760
ERZ8153470.330-NODE-330-length-44679-cov-6.874081	M00127	16.67	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00788	K00946,K03147,K00941
ERZ8153470.332-NODE-332-length-43940-cov-15.586966	M00026	5.56	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	K04486	K00817,K00765,K01693,K02500,K01496,K01523,K02501,K00013,K01814
ERZ8153470.334-NODE-334-length-43889-cov-12.394283	M00652	20.0	Vancomycin resistance, D-Ala-D-Ser type	Signature modules; Gene set; Drug resistance	K18349	K18350,K18348,K18856,K18866
ERZ8153470.334-NODE-334-length-43889-cov-12.394283	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K11529	K00830,K00600,K01689,K00024,K01595,K08691,K08692,K14067,K00018
ERZ8153470.335-NODE-335-length-43797-cov-12.092177	M00125	33.33	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K21064	K01498,K00082,K01497
ERZ8153470.335-NODE-335-length-43797-cov-12.092177	M00126	20.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754	K13939,K01077,K00287,K01495
ERZ8153470.335-NODE-335-length-43797-cov-12.092177	M00841	20.0	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754	K13941,K22101,K13998,K01495
ERZ8153470.336-NODE-336-length-43780-cov-170.370040	M00023	16.67	Tryptophan biosynthesis, chorismate => tryptophan	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K06001	K00766,K01657,K01656,K01658,K01817,K01695
ERZ8153470.337-NODE-337-length-43759-cov-5.145753	M00027	33.33	GABA (gamma-Aminobutyrate) shunt	Pathway modules; Amino acid metabolism; Other amino acid metabolism	K00135	K01580,K13524
ERZ8153470.337-NODE-337-length-43759-cov-5.145753	M00855	33.33	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00688	K01196,K15779
ERZ8153470.337-NODE-337-length-43759-cov-5.145753	M00083	25.0	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K01716	K00059,K00647,K00208
ERZ8153470.338-NODE-338-length-43716-cov-4.814136	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
ERZ8153470.338-NODE-338-length-43716-cov-4.814136	M00552	60.0	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01684,K00883,K01631	K00927,K00134
ERZ8153470.338-NODE-338-length-43716-cov-4.814136	M00846	14.29	Siroheme biosynthesis, glutamate => siroheme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K02492	K01698,K01749,K01719,K01845,K02302,K01885
ERZ8153470.338-NODE-338-length-43716-cov-4.814136	M00096	12.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00919	K03527,K00991,K01823,K01770,K03526,K01662,K00099
ERZ8153470.338-NODE-338-length-43716-cov-4.814136	M00121	10.0	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K02492	K01599,K01698,K01749,K01772,K00228,K00230,K01719,K01845,K01885
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00373	50.0	Ethylmalonyl pathway	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01966,K05606	K01965,K01847
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00741	50.0	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01966,K05606	K01965,K01847
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00345	33.33	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K01624	K08093,K08094,K00850
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00167	28.57	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules; Energy metabolism; Carbon fixation	K01624	K01100,K01807,K00615,K03841
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00344	25.0	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K01624	K00863,K03841,K17100
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00532	25.0	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00605	K00281,K00382,K02437
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00001	22.22	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01689,K01624	K00927,K01810,K00844,K01803,K00850,K00873,K00134,K01834
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00003	21.43	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01689,K01624	K00927,K01596,K00134,K01803,K01834,K03841
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00002	20.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01689	K00927,K00134,K01803,K01834,K00873
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00165	18.18	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K01624	K00927,K05298,K00855,K01807,K01601,K00615,K01100,K03841
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00120	16.67	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00859	K01922,K00867,K01598,K00954
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00030	12.5	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00290	K00143,K05824,K01655,K00838,K01705,K17450,K00293
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00048	12.5	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00764	K00602,K01923,K00601,K01756,K01952,K01933,K01945
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K01689	K00830,K00600,K00024,K01595,K08691,K08692,K14067,K00018,K11529
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00376	11.11	3-Hydroxypropionate bi-cycle	Pathway modules; Energy metabolism; Carbon fixation	K05606	K14468,K01962,K14471,K01961,K14472,K00241,K01679,K02160,K14469,K01847,K00240,K15052,K00239,K01963
ERZ8153470.339-NODE-339-length-43634-cov-109.610202	M00375	7.14	Hydroxypropionate-hydroxybutylate cycle	Pathway modules; Energy metabolism; Carbon fixation	K05606	K01848,K15038,K00626,K15019,K15039,K15020,K15037,K15017,K01849,K15016,K15036,K15018,K01964,K14466,K14465,K14534
ERZ8153470.340-NODE-340-length-43518-cov-52.890643	M00554	50.0	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00965	K00849
ERZ8153470.340-NODE-340-length-43518-cov-52.890643	M00632	25.0	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00965	K01785,K00849,K01784
ERZ8153470.340-NODE-340-length-43518-cov-52.890643	M00855	16.67	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00705	K00688,K15779,K02438
ERZ8153470.341-NODE-341-length-43503-cov-9.882112	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
ERZ8153470.341-NODE-341-length-43503-cov-9.882112	M00133	50.0	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	K01585	K01480
ERZ8153470.341-NODE-341-length-43503-cov-9.882112	M00017	14.29	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00549	K01739,K00133,K00651,K00928,K00003,K01760
ERZ8153470.341-NODE-341-length-43503-cov-9.882112	M00053	12.5	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00943	K00940,K01494,K00560,K00524,K00527,K01520
ERZ8153470.342-NODE-342-length-43466-cov-17.816245	M00063	25.0	CMP-KDO biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K01627	K00979,K06041,K03270
ERZ8153470.342-NODE-342-length-43466-cov-17.816245	M00079	25.0	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K12373	K12309,K01137,K01132
ERZ8153470.343-NODE-343-length-43414-cov-118.400101	M00119	33.33	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826	K00606,K00077
ERZ8153470.343-NODE-343-length-43414-cov-118.400101	M00019	25.0	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K01687,K01653,K00053,K01652
ERZ8153470.343-NODE-343-length-43414-cov-118.400101	M00570	20.0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K01687,K01652,K01653,K00053,K17989
ERZ8153470.343-NODE-343-length-43414-cov-118.400101	M00036	16.67	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K00382,K00253,K01640,K00167,K05607,K00166,K09699,K01968,K01969
ERZ8153470.343-NODE-343-length-43414-cov-118.400101	M00096	12.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01770	K03527,K00991,K01823,K00919,K03526,K01662,K00099
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00168	50.0	CAM (Crassulacean acid metabolism), dark	Pathway modules; Energy metabolism; Carbon fixation	K00024	K01595
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00119	33.33	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826	K00606,K00077
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00627	33.33	beta-Lactam resistance, Bla system	Signature modules; Gene set; Drug resistance	K02171	K18766,K02172
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00019	25.0	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K01687,K01653,K00053,K01652
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00011	20.0	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00024	K00382,K01678,K01903,K00241,K00658,K01902,K00164,K00240,K00239,K01677
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00012	20.0	Glyoxylate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00024	K01637,K01647,K01681,K01638
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00570	20.0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K01687,K01652,K01653,K00053,K17989
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00036	16.67	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K00382,K00253,K01640,K00167,K05607,K00166,K09699,K01968,K01969
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00620	14.29	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules; Energy metabolism; Carbon fixation	K00024	K00171,K01678,K00175,K00174,K01960,K01902,K18209,K01959,K00172,K00170,K00169,K01903,K00177,K18210,K00176,K01677
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00009	12.5	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00024	K00382,K00031,K01903,K00234,K00658,K00236,K01676,K01647,K00164,K01902,K00237,K01681,K00235
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K00024	K00830,K00600,K01689,K01595,K08691,K08692,K14067,K00018,K11529
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00173	10.0	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00024	K15231,K01678,K00171,K00175,K00172,K00170,K00169,K01007,K00174,K00031,K01903,K01595,K01902,K00240,K01681,K00239,K15230,K01677
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00740	9.09	Methylaspartate cycle	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00024	K19268,K14449,K19281,K00031,K19282,K19280,K01647,K00261,K01846,K04835,K01681
ERZ8153470.344-NODE-344-length-43283-cov-18.766031	M00374	7.69	Dicarboxylate-hydroxybutyrate cycle	Pathway modules; Energy metabolism; Carbon fixation	K00024	K15038,K01678,K00171,K00626,K01007,K01677,K01902,K00240,K00172,K00170,K00169,K15016,K01903,K01595,K14467,K14465,K00239,K14534
ERZ8153470.345-NODE-345-length-42976-cov-16.054286	M00120	33.33	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03525	K01922,K02318,K01598
ERZ8153470.345-NODE-345-length-42976-cov-16.054286	M00124	16.67	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00097	K00275,K03472,K03474,K00831,K03473
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00119	66.67	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00606,K00077	K00826
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00050	50.0	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01951,K00088	K00940,K00942
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00641	50.0	Multidrug resistance, efflux pump MexEF-OprN	Signature modules; Gene set; Drug resistance	K18297	K18298,K18299
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00745	50.0	Imipenem resistance, repression of porin OprD	Signature modules; Gene set; Drug resistance	K18297	K18093
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00048	25.0	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01933,K11175	K00602,K01923,K00764,K01756,K01952,K01945
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00526	16.67	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714	K03340,K00133,K01586,K00928,K00215
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00527	14.29	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714	K01778,K00133,K01586,K00928,K00215,K10206
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00096	12.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K03526	K03527,K00991,K01823,K00919,K01770,K01662,K00099
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00016	11.11	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714	K01439,K00928,K00674,K00821,K01778,K00133,K01586,K00215
ERZ8153470.346-NODE-346-length-42912-cov-5.711389	M00525	11.11	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714	K05823,K00841,K00928,K01778,K05822,K00133,K01586,K00215
ERZ8153470.347-NODE-347-length-42817-cov-106.943150	M00120	33.33	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K13038	K02318,K00867
ERZ8153470.347-NODE-347-length-42817-cov-106.943150	M00125	33.33	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00793	K00794,K11753
ERZ8153470.347-NODE-347-length-42817-cov-106.943150	M00126	20.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754	K13939,K01077,K00287,K01495
ERZ8153470.347-NODE-347-length-42817-cov-106.943150	M00841	20.0	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754	K13941,K22101,K13998,K01495
ERZ8153470.348-NODE-348-length-42771-cov-17.288159	M00126	20.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00287	K13939,K01077,K11754,K01495
ERZ8153470.348-NODE-348-length-42771-cov-17.288159	M00840	16.67	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00287	K14652,K22100,K13941,K01633,K22099
ERZ8153470.348-NODE-348-length-42771-cov-17.288159	M00053	12.5	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00560	K00940,K01494,K00524,K00527,K00943,K01520
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00007	50.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615,K00616	K01783,K01807
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00169	50.0	CAM (Crassulacean acid metabolism), light	Pathway modules; Energy metabolism; Carbon fixation	K00029	K01006
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00004	28.57	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00615,K00616	K01807,K01810,K01783,K00033,K13937
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00167	28.57	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules; Energy metabolism; Carbon fixation	K00615	K01623,K01807,K01100,K03841
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00172	25.0	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules; Energy metabolism; Carbon fixation	K00029	K00051,K01006,K01595
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00165	18.18	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K00615	K00927,K05298,K00855,K01807,K01623,K01601,K01100,K03841
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00718	16.67	Multidrug resistance, efflux pump MexAB-OprM	Signature modules; Gene set; Drug resistance	K18138	K18139,K18131,K03585
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00048	12.5	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01923	K00764,K00602,K00601,K01756,K01952,K01933,K01945
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00616	12.5	Sulfate-sulfur assimilation	Signature modules; Module set; Metabolic capacity	K02048	M00176,K02046,K02047,K02045
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00868	12.5	Heme biosynthesis, animals and fungi, glycine => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00228	K01599,K01698,K00643,K00231,K01772,K01719,K01749
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00016	11.11	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01439	K00928,K00674,K00821,K01778,K00133,K01714,K01586,K00215
ERZ8153470.352-NODE-352-length-42661-cov-5.483078	M00121	10.0	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00228	K01599,K01698,K02492,K01772,K01749,K00230,K01719,K01845,K01885
ERZ8153470.353-NODE-353-length-42607-cov-6.217005	M00079	25.0	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K12373	K12309,K01137,K01132
ERZ8153470.354-NODE-354-length-42546-cov-5.571392	M00026	50.0	Histidine biosynthesis, PRPP => histidine	Pathway modules; Amino acid metabolism; Histidine metabolism	K00817,K00765,K00013,K01089	K02500,K01496,K01523,K02501,K01814
ERZ8153470.354-NODE-354-length-42546-cov-5.571392	M00115	20.0	NAD biosynthesis, aspartate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01950	K00969,K03517,K00278,K00767
ERZ8153470.355-NODE-355-length-42419-cov-15.523794	M00125	33.33	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00793	K00794,K11753
ERZ8153470.357-NODE-357-length-42319-cov-7.025080	M00050	25.0	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01951	K00088,K00940,K00942
ERZ8153470.358-NODE-358-length-42043-cov-8.603696	M00028	25.0	Ornithine biosynthesis, glutamate => ornithine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00821	K00145,K00930,K01438,K00618
ERZ8153470.358-NODE-358-length-42043-cov-8.603696	M00845	14.29	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00821	K01940,K09065,K01438,K00145,K22478,K01755
ERZ8153470.358-NODE-358-length-42043-cov-8.603696	M00016	11.11	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K00821	K01439,K00928,K00674,K01778,K00133,K01714,K01586,K00215
ERZ8153470.359-NODE-359-length-41992-cov-22.635906	M00120	16.67	Coenzyme A biosynthesis, pantothenate => CoA	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00954	K01922,K00859,K01598,K00867
ERZ8153470.359-NODE-359-length-41992-cov-22.635906	M00546	6.67	Purine degradation, xanthine => urea	Pathway modules; Nucleotide metabolism; Purine metabolism	K11178	K13483,K01477,K00365,K01466,K11177,K13484
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00125	100.0	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K14652	
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00526	50.0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215,K00133	K01586,K00928,K03340
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00527	42.86	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215,K00133	K01778,K00928,K01586,K10206
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00016	33.33	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215,K00133	K01778,K01439,K00821,K01586,K00928,K00674
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00525	33.33	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215,K00133	K05823,K00841,K01778,K05822,K01586,K00928
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00034	25.0	Methionine salvage pathway	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00772,K08963	K16054,K00797,K01611,K00789,K00815,K08967
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00035	25.0	Methionine degradation	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K01251	K01697,K00789,K00558
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00651	25.0	Vancomycin resistance, D-Ala-D-Lac type	Signature modules; Gene set; Drug resistance	K18346	K18345,K07260,K18344
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00018	20.0	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00133	K00928,K01733,K00003,K00872
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00033	20.0	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00133	K06718,K00928,K06720,K00836
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00840	16.67	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K14652	K22100,K00287,K13941,K01633,K22099
ERZ8153470.360-NODE-360-length-41735-cov-7.620657	M00017	14.29	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00133	K01739,K00548,K00651,K00928,K00003,K01760
ERZ8153470.361-NODE-361-length-41672-cov-166.100031	M00079	25.0	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K12373	K12309,K01137,K01132
