Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296349	MAG	1677435	69	53147	45.33	94.26	1.09	0.00	99.67	99.69	20	CAJXOH01	MGYG000296349	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__UBA8296;s__	ERS7418322	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296349/genomes1/MGYG000296349.gff.gz
MGYG000296350	MAG	2643277	141	35613	31.73	97.26	1.17	0.00	34.83	17.30	20	CAJXPZ01	MGYG000296350	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SCGC-AAA160-P02;s__SCGC-AAA160-P02 sp000383355	ERS7418973	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296350/genomes1/MGYG000296350.gff.gz
MGYG000296351	MAG	3051253	129	39375	47.84	98.64	1.23	94.96	99.61	99.83	19	CAJYAZ01	MGYG000296351	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7434;g__UBA7434;s__UBA7434 sp002480045	ERS7419013	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296351/genomes1/MGYG000296351.gff.gz
MGYG000296352	MAG	2592563	254	15937	53.49	80.77	2.52	0.00	53.16	0.00	14	CAJWCW01	MGYG000296352	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA11889;s__	ERS7419105	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296352/genomes1/MGYG000296352.gff.gz
MGYG000296353	MAG	2837866	199	25073	63.76	100	4.27	94.96	99.61	99.69	20	CAJVYX01	MGYG000296353	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA4744;g__BMS3Bbin01;s__BMS3Bbin01 sp002897675	ERS7418452	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296353/genomes1/MGYG000296353.gff.gz
MGYG000296354	MAG	4971538	346	21448	60.06	93.78	2.99	0.00	21.40	0.00	19	CAJWMP01	MGYG000296354	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-2687515;s__GCA-2687515 sp002687515	ERS7418466	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296354/genomes1/MGYG000296354.gff.gz
MGYG000296355	MAG	3131005	105	56051	49.39	97.63	1.15	0.00	99.67	99.69	20	CAJYAS01	MGYG000296355	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__UBA1268 sp002171115	ERS7419557	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296355/genomes1/MGYG000296355.gff.gz
MGYG000296356	MAG	4579155	280	23617	48.88	93.28	1.36	0.00	0.00	0.00	11	CAJWSM01	MGYG000296356	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Marisediminitalea;s__Marisediminitalea aggregata	ERS7419060	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296356/genomes1/MGYG000296356.gff.gz
MGYG000296357	MAG	1739450	87	25242	48.44	97.95	0.41	0.00	0.00	0.00	20	CAJXJF01	MGYG000296357	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor;s__	ERS7418673	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296357/genomes1/MGYG000296357.gff.gz
MGYG000296358	MAG	3136612	164	36830	37.82	97.86	2.93	0.00	0.00	0.00	16	CAJWST01	MGYG000296358	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sp002715485	ERS7419076	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296358/genomes1/MGYG000296358.gff.gz
MGYG000296359	MAG	1456599	93	25794	34.81	90.86	0.54	94.12	0.00	11.52	18	CAJWHN01	MGYG000296359	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA7312;g__UBA8444;s__UBA8444 sp003454845	ERS7418935	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296359/genomes1/MGYG000296359.gff.gz
MGYG000296360	MAG	1307479	47	72408	33.02	80.17	4.49	0.00	0.00	0.00	17	CAJXCY01	MGYG000296360	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__MED-G09;s__MED-G09 sp002704345	ERS7418832	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296360/genomes1/MGYG000296360.gff.gz
MGYG000296361	MAG	2707500	305	12621	54.42	94.2	1.35	94.96	23.35	10.87	15	CAJYBN01	MGYG000296361	d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfotomaculaceae_A;g__;s__	ERS7418769	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296361/genomes1/MGYG000296361.gff.gz
MGYG000296362	MAG	2164885	212	13979	61.11	89.27	0.87	0.00	0.00	0.00	12	CAJWMW01	MGYG000296362	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp002457745	ERS7418925	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296362/genomes1/MGYG000296362.gff.gz
MGYG000296363	MAG	1668808	119	19072	56.82	94.83	1.01	0.00	0.00	0.00	14	CAJXCG01	MGYG000296363	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__UBA7378;s__	ERS7418818	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296363/genomes1/MGYG000296363.gff.gz
MGYG000296364	MAG	3821870	19	351986	49.71	97.01	1.36	95.80	51.53	8.89	17	CAJXTV01	MGYG000296364	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Marortus;s__	ERS7418515	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296364/genomes1/MGYG000296364.gff.gz
MGYG000296365	MAG	2319852	180	20136	55.9	86.44	3.39	86.55	99.61	99.38	20	CAJVYM01	MGYG000296365	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__;s__	ERS7418575	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296365/genomes1/MGYG000296365.gff.gz
MGYG000296366	MAG	982709	121	14675	27.63	52.76	0.0	91.60	0.00	7.62	9	CAJWAW01	MGYG000296366	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__GCA-002707645;g__;s__	ERS7419196	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296366/genomes1/MGYG000296366.gff.gz
MGYG000296367	MAG	2629054	70	62441	44.89	95.14	0.49	94.96	51.86	10.97	17	CAJWTM01	MGYG000296367	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__ASP10-02a;s__ASP10-02a sp002312935	ERS7419115	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296367/genomes1/MGYG000296367.gff.gz
MGYG000296368	MAG	1964505	65	54684	62.54	90.65	0.72	94.96	23.35	99.73	19	CAJWAX01	MGYG000296368	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002728915	ERS7419422	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296368/genomes1/MGYG000296368.gff.gz
MGYG000296369	MAG	2848205	52	118466	37.7	93.72	1.24	0.00	60.86	0.00	18	CAJWDA01	MGYG000296369	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__TMED23;s__TMED23 sp002168115	ERS7418561	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296369/genomes1/MGYG000296369.gff.gz
MGYG000296370	MAG	1538442	113	23844	42.64	81.2	3.85	94.96	23.35	0.00	17	CAJXDI01	MGYG000296370	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp002729765	ERS7419621	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296370/genomes1/MGYG000296370.gff.gz
MGYG000296371	MAG	536045	28	38439	36.35	59.54	0.0	0.00	53.29	0.00	19	CAJWVV01	MGYG000296371	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Portnoybacterales;f__UBA2143;g__UBA2143;s__UBA2143 sp002685955	ERS7418689	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296371/genomes1/MGYG000296371.gff.gz
MGYG000296372	MAG	2891085	95	56113	52.36	89.71	1.71	0.00	0.00	0.00	18	CAJYAE01	MGYG000296372	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp002704325	ERS7419065	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296372/genomes1/MGYG000296372.gff.gz
MGYG000296373	MAG	1643479	61	34542	40.69	56.03	0.0	93.28	0.00	0.00	16	CAJXFU01	MGYG000296373	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA2774;f__CSP1-2;g__CSP1-2;s__CSP1-2 sp001443445	ERS7418954	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296373/genomes1/MGYG000296373.gff.gz
MGYG000296374	MAG	3359356	23	303217	60.85	99.93	0.64	0.00	0.00	0.00	20	CAJWKV01	MGYG000296374	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A sp002895025	ERS7418951	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296374/genomes1/MGYG000296374.gff.gz
MGYG000296375	MAG	1790561	122	25248	29.94	93.1	2.35	94.12	22.64	0.00	17	CAJXED01	MGYG000296375	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-002697625;s__GCA-002697625 sp002696275	ERS7418989	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296375/genomes1/MGYG000296375.gff.gz
MGYG000296376	MAG	4354493	215	29262	40.6	99.46	1.16	95.80	23.35	7.38	17	CAJXRU01	MGYG000296376	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychrobiaceae;g__Psychrobium;s__	ERS7419601	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296376/genomes1/MGYG000296376.gff.gz
MGYG000296377	MAG	6183925	867	9214	71.37	90.51	1.47	0.00	23.03	0.00	19	CAJXXK01	MGYG000296377	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium organophilum	ERS7418878	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296377/genomes1/MGYG000296377.gff.gz
MGYG000296378	MAG	548078	104	5595	49.13	50.35	0.0	0.00	0.00	0.00	5	CAJXVY01	MGYG000296378	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__;s__	ERS7419360	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296378/genomes1/MGYG000296378.gff.gz
MGYG000296379	MAG	1219822	55	33544	45.63	51.85	0.0	0.00	0.00	0.00	6	CAJVZY01	MGYG000296783	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__	ERS7418586	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002967/MGYG000296783/genomes1/MGYG000296379.gff.gz
MGYG000296380	MAG	2049071	106	26519	44.63	90.11	1.1	0.00	21.40	11.04	19	CAJXEP01	MGYG000296380	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2137;s__UBA2137 sp002695035	ERS7419213	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296380/genomes1/MGYG000296380.gff.gz
MGYG000296381	MAG	2670727	94	40683	52.94	86.23	1.34	0.00	34.44	0.00	14	CAJVZE01	MGYG000296381	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421;s__UBA4421 sp902535955	ERS7418172	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296381/genomes1/MGYG000296381.gff.gz
MGYG000296382	MAG	1036872	62	27384	30.81	62.07	1.72	93.28	0.00	11.42	14	CAJWVG01	MGYG000296382	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-002705445;f__GCA-002716945;g__GCA-2698665;s__	ERS7418209	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296382/genomes1/MGYG000296382.gff.gz
MGYG000296383	MAG	4982430	23	1287963	44.89	99.73	0.08	0.00	35.09	0.00	16	CAJXVX01	MGYG000296383	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio diabolicus	ERS7418517	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296383/genomes1/MGYG000296383.gff.gz
MGYG000296384	MAG	2066772	70	44374	42.57	92.59	0.37	0.00	21.72	0.00	14	CAJWCL01	MGYG000296384	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48;s__TMED48 sp002338445	ERS7419337	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296384/genomes1/MGYG000296384.gff.gz
MGYG000296385	MAG	3819967	105	73324	33.75	94.69	1.27	0.00	0.00	0.00	19	CAJXVU01	MGYG000296385	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__PRS1;s__	ERS7418753	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296385/genomes1/MGYG000296385.gff.gz
MGYG000296386	MAG	2031357	61	44615	62.17	96.0	0.54	94.96	23.35	82.19	20	CAJWZL01	MGYG000296386	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__S36-B12;s__S36-B12 sp002729215	ERS7418626	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296386/genomes1/MGYG000296386.gff.gz
MGYG000296387	MAG	1968265	27	115872	36.56	96.35	0.16	0.00	0.00	0.00	16	CAJWAA01	MGYG000296387	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA8316;s__UBA8316 sp002336305	ERS7418699	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296387/genomes1/MGYG000296387.gff.gz
MGYG000296388	MAG	1775052	29	89766	57.3	92.07	0.38	95.80	0.00	11.76	20	CAJXNL01	MGYG000296388	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__	ERS7419599	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296388/genomes1/MGYG000296388.gff.gz
MGYG000296389	MAG	2009325	476	4502	36.7	63.26	1.72	0.00	0.00	0.00	8	CAJXEW01	MGYG000296389	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter;s__Salegentibacter mishustinae	ERS7418780	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296389/genomes1/MGYG000296389.gff.gz
MGYG000296390	MAG	1158532	58	25340	44.68	65.24	0.68	0.00	18.33	0.00	14	CAJWHF01	MGYG000296390	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__	ERS7418652	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296390/genomes1/MGYG000296390.gff.gz
MGYG000296391	MAG	1618443	15	205445	46.54	67.52	1.71	94.96	21.72	11.66	18	CAJWEY01	MGYG000296391	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__UBA2999;s__UBA2999 sp002346475	ERS7419496	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296391/genomes1/MGYG000296391.gff.gz
MGYG000296392	MAG	2362931	281	9507	50.03	79.3	1.65	0.00	0.00	0.00	6	CAJXHK01	MGYG000296392	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LFER01;s__LFER01 sp011525185	ERS7419592	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296392/genomes1/MGYG000296392.gff.gz
MGYG000296393	MAG	3020712	379	10422	43.22	72.57	0.0	0.00	0.00	0.00	8	CAJWQA01	MGYG000296393	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__Gramella flava	ERS7419652	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296393/genomes1/MGYG000296393.gff.gz
MGYG000296394	MAG	2938163	68	115465	42.2	89.65	2.39	0.00	21.59	0.00	18	CAJWWB01	MGYG000296394	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Nisaeaceae;g__GCA-002701455;s__GCA-002701455 sp002730675	ERS7418695	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296394/genomes1/MGYG000296394.gff.gz
MGYG000296395	MAG	3828965	113	55375	58.58	95.36	1.09	94.12	0.00	21.50	18	CAJWXQ01	MGYG000296395	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2966;f__UBA2966;g__UBA2966;s__UBA2966 sp002348365	ERS7419345	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296395/genomes1/MGYG000296395.gff.gz
MGYG000296396	MAG	1498415	243	7457	62.07	69.83	3.74	0.00	0.00	0.00	8	CAJWIC01	MGYG000296396	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__	ERS7418485	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296396/genomes1/MGYG000296396.gff.gz
MGYG000296397	MAG	3404401	624	6524	38.71	83.33	2.08	0.00	0.00	0.00	12	CAJXOX01	MGYG000296397	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Cognaticolwellia;s__Cognaticolwellia aestuarii	ERS7419314	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296397/genomes1/MGYG000296397.gff.gz
MGYG000296398	MAG	2696028	105	45727	47.51	95.67	2.23	0.00	35.03	0.00	11	CAJXGL01	MGYG000296398	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-21;f__SZUA-21;g__JAADHQ01;s__JAADHQ01 sp011052215	ERS7418968	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296398/genomes1/MGYG000296398.gff.gz
MGYG000296399	MAG	606227	61	13483	42.08	70.04	2.25	0.00	0.00	0.00	18	CAJWTE01	MGYG000296399	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__OLB19;s__	ERS7418473	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002963/MGYG000296399/genomes1/MGYG000296399.gff.gz
MGYG000296400	MAG	3427840	258	22270	39.31	87.91	2.2	94.96	99.67	99.79	18	CAJVYU01	MGYG000296400	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__	ERS7419084	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296400/genomes1/MGYG000296400.gff.gz
MGYG000296401	MAG	1427880	72	35551	36.71	94.1	1.13	94.96	99.61	99.86	20	CAJYAW01	MGYG000296401	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__Porticoccus;s__Porticoccus sp002390525	ERS7418298	ERP121137	Pacific Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296401/genomes1/MGYG000296401.gff.gz
MGYG000296402	MAG	516509	23	41315	36.33	61.08	0.0	0.00	88.13	89.54	20	CAJWZT01	MGYG000296402	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA6532;g__UBA6532;s__UBA6532 sp002434805	ERS7418678	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296402/genomes1/MGYG000296402.gff.gz
MGYG000296403	MAG	3080889	285	16613	52.43	92.22	0.69	0.00	0.00	0.00	16	CAJXTK01	MGYG000296403	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__	ERS7418845	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296403/genomes1/MGYG000296403.gff.gz
MGYG000296404	MAG	2228439	236	14306	55.07	85.82	1.37	0.00	10.70	0.00	15	CAJXWH01	MGYG000296404	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__GCA-2724185;s__	ERS7419026	ERP121137	Atlantic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296404/genomes1/MGYG000296404.gff.gz
MGYG000296405	MAG	1261706	51	35398	39.46	95.7	0.0	0.00	0.00	0.00	20	CAJXSI01	MGYG000296405	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7879;f__;g__;s__	ERS7418877	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002964/MGYG000296405/genomes1/MGYG000296405.gff.gz
